NBS_Date,Trading_Date,Prev_Close,Open,High,Low,Close,Gap_%,Gap_Direction,Intraday_%,Continuation,2Day_%,3Day_%
2024-11-15,2024-11-15,90.58,90.2,90.7,87.23,88.59,-0.42,FLAT,-1.78,None,-1.67,-2.05
2024-10-18,2024-10-18,100.07,103.36,103.36,101.66,102.43,3.29,UP,-0.9,REVERSAL,-1.92,-4.32
2024-09-14,2024-09-16,84.69,84.03,84.38,83.26,83.6,-0.77,DOWN,-0.52,YES,0.98,5.85
2024-08-15,2024-08-15,79.47,77.9,81.88,77.74,79.54,-1.98,DOWN,2.11,REVERSAL,5.49,1.89
2024-07-15,2024-07-15,79.65,78.09,78.6,77.45,78.01,-1.96,DOWN,-0.1,YES,-1.24,-1.88
2024-06-17,2024-06-17,73.35,74.03,75.08,73.83,74.55,0.92,UP,0.71,YES,-0.27,-1.18
2024-05-17,2024-05-17,86.7,87.6,90.46,86.83,88.54,1.04,UP,1.07,YES,-2.72,-6.62
2024-04-16,2024-04-16,70.62,70.02,70.31,69.29,69.61,-0.85,DOWN,-0.59,YES,-1.05,-0.78
2024-03-18,2024-03-18,73.42,73.42,74.02,73.33,73.52,0.0,FLAT,0.14,None,0.9,0.42
2024-02-29,2024-02-29,74.59,74.68,75.04,73.8,74.03,0.12,FLAT,-0.87,None,-2.74,-2.65
2024-01-17,2024-01-17,69.46,67.72,69.0,67.26,68.93,-2.51,DOWN,1.79,REVERSAL,0.71,-0.44
2023-12-15,2023-12-15,72.51,74.0,75.55,73.32,74.51,2.05,UP,0.69,YES,1.18,-1.56
2023-11-15,2023-11-15,83.87,86.96,87.83,85.89,87.07,3.68,UP,0.13,YES,-10.88,-9.89
2023-10-18,2023-10-18,83.91,82.96,83.73,82.76,83.01,-1.13,DOWN,0.06,FLAT,-3.7,-3.01
2023-09-15,2023-09-15,88.0,87.77,88.22,86.82,87.07,-0.26,FLAT,-0.8,None,0.05,-1.53
2023-08-15,2023-08-15,93.46,93.0,93.01,90.74,91.59,-0.49,FLAT,-1.52,None,-1.03,-3.89
2023-07-17,2023-07-17,94.56,92.25,93.55,91.04,93.41,-2.44,DOWN,1.26,REVERSAL,-1.41,-1.62
2023-06-15,2023-06-15,89.36,91.46,92.77,90.6,92.2,2.35,UP,0.81,YES,-4.63,-5.89
2023-05-16,2023-05-16,88.34,87.11,89.37,87.06,88.76,-1.39,DOWN,1.89,REVERSAL,-3.37,-5.39
2023-04-18,2023-04-18,96.42,99.02,99.17,95.18,95.49,2.7,UP,-3.56,REVERSAL,-4.97,-6.66
