ticker,status,events_written
AA,ok,91.0
AAL,ok,73.0
AAPL,ok,81.0
ABBV,ok,85.0
ABNB,ok,87.0
ACHR,ok,76.0
AEO,ok,82.0
AFRM,ok,83.0
AI,ok,66.0
AIQ,ok,52.0
AIS,ok,6.0
ALAB,ok,87.0
AMD,ok,81.0
AMZN,ok,70.0
ANF,ok,67.0
APLD,ok,82.0
APP,ok,79.0
ARKK,ok,63.0
ARKQ,ok,40.0
ARKX,ok,44.0
ARM,ok,76.0
ASML,ok,68.0
ASTS,ok,89.0
AVGO,ok,87.0
BA,ok,83.0
BABA,ok,42.0
BAC,ok,74.0
BE,ok,87.0
BIDU,ok,57.0
BLSH,skipped_missing_data_files,
BROS,ok,88.0
BRZU,ok,0.0
BULL,ok,61.0
CASY,ok,88.0
CAT,ok,81.0
CCL,ok,77.0
CDE,ok,86.0
CELH,ok,80.0
CIFR,ok,70.0
CL,ok,96.0
CLF,ok,72.0
CLOU,ok,41.0
CLSK,ok,61.0
COIN,ok,62.0
COP,ok,86.0
COST,ok,83.0
CPNG,ok,76.0
CRCL,skipped_missing_data_files,
CRDO,ok,83.0
CRWD,ok,90.0
CRWV,ok,76.0
CSCO,ok,79.0
CVNA,ok,75.0
CVS,ok,90.0
CVX,ok,77.0
DAL,ok,82.0
DASH,ok,92.0
DELL,ok,83.0
DHI,ok,74.0
DIA,ok,51.0
DIS,ok,89.0
DJT,ok,61.0
DKNG,ok,75.0
DLTR,ok,90.0
DOCU,ok,67.0
DTCR,ok,51.0
DVN,ok,83.0
EBAY,ok,81.0
EDC,ok,3.0
ENPH,ok,67.0
EOG,ok,83.0
EOSE,ok,80.0
ETHU,ok,26.0
ETOR,skipped_missing_data_files,
ETSY,ok,98.0
EURL,ok,0.0
EZJ,skipped_missing_data_files,
EZU,ok,20.0
FAZ,ok,50.0
FCG,ok,75.0
FIG,skipped_missing_data_files,
FSLY,ok,74.0
FTXH,ok,0.0
FUBO,ok,74.0
GE,ok,89.0
GEMI,skipped_missing_data_files,
GILD,ok,94.0
GLD,ok,24.0
GM,ok,92.0
GME,ok,58.0
GOLD,ok,81.0
GOOGL,ok,87.0
GS,ok,74.0
HAL,ok,85.0
HD,ok,81.0
HIMS,ok,75.0
HON,ok,77.0
HOOD,ok,73.0
IBB,ok,84.0
IBKR,ok,59.0
IBOT,ok,0.0
ICLN,ok,49.0
IGV,ok,61.0
IHE,ok,4.0
INDL,ok,0.0
INTC,ok,80.0
IONQ,ok,77.0
IPO,ok,3.0
IREN,ok,77.0
ITA,ok,92.0
ITB,ok,77.0
IWC,ok,5.0
IWM,ok,51.0
JD,ok,63.0
JETS,ok,74.0
JNJ,ok,98.0
JPM,ok,76.0
KORU,ok,7.0
KRE,ok,72.0
KTOS,ok,78.0
KWEB,ok,33.0
LEN,ok,66.0
LI,ok,44.0
LLY,ok,84.0
LULU,ok,75.0
LUNR,ok,81.0
LYFT,ok,74.0
M,ok,85.0
MAGS,ok,60.0
MARA,ok,61.0
MEME,skipped_missing_data_files,
META,ok,70.0
MEXX,ok,4.0
MMM,ok,76.0
MP,ok,84.0
MRK,ok,92.0
MRNA,ok,77.0
MRVL,ok,59.0
MS,ok,61.0
MSFT,ok,75.0
MU,ok,77.0
NCLH,ok,78.0
NET,ok,80.0
NFLX,ok,95.0
NIO,ok,79.0
NKE,ok,69.0
NLR,ok,72.0
NNE,ok,78.0
NRG,ok,74.0
NVDA,ok,69.0
NVO,ok,35.0
OIH,ok,88.0
OKLO,ok,86.0
OPEN,ok,71.0
ORCL,ok,78.0
OSCR,ok,86.0
OXY,ok,88.0
PALL,ok,36.0
PANW,ok,90.0
PATH,ok,73.0
PBW,ok,66.0
PDD,ok,83.0
PENN,ok,69.0
PEP,ok,95.0
PG,ok,93.0
PL,ok,98.0
PLTR,ok,74.0
PLUG,ok,87.0
PPH,ok,57.0
PSX,ok,84.0
QBTS,ok,81.0
QCOM,ok,70.0
QQQ,ok,53.0
QTUM,ok,62.0
QUBT,ok,63.0
RBLX,ok,97.0
RCAT,ok,87.0
RDDT,ok,87.0
RGTI,ok,71.0
RILY,ok,80.0
RIOT,ok,57.0
RIVN,ok,90.0
RKLB,ok,84.0
RKT,ok,64.0
ROKU,ok,80.0
RR,ok,85.0
RTX,ok,77.0
RUM,ok,65.0
RUN,ok,65.0
SCHW,ok,75.0
SERV,ok,73.0
SHOP,ok,82.0
SLB,ok,93.0
SLV,ok,32.0
SMCI,ok,58.0
SMH,ok,58.0
SMR,ok,83.0
SNAP,ok,73.0
SNDK,ok,96.0
SNOW,ok,88.0
SOFI,ok,86.0
SOUN,ok,77.0
SOXS,ok,49.0
SOXX,ok,59.0
SPX,skipped_missing_data_files,
SPY,ok,37.0
SQQQ,ok,50.0
TAN,ok,62.0
TEM,ok,87.0
TGT,ok,85.0
TIGR,ok,70.0
TSLA,ok,67.0
TSM,ok,68.0
U,ok,81.0
UAL,ok,74.0
UBER,ok,96.0
UFO,ok,28.0
UNH,ok,90.0
UPST,ok,64.0
VLO,ok,80.0
VRT,ok,88.0
VST,ok,79.0
WMT,ok,79.0
XBI,ok,85.0
XHB,ok,67.0
XLE,ok,86.0
XLF,ok,68.0
XLI,ok,65.0
XLK,ok,49.0
XLP,ok,95.0
XLV,ok,87.0
XOM,ok,92.0
XOP,ok,86.0
XPEV,ok,54.0
YANG,ok,27.0
Z,ok,73.0
ZETA,ok,76.0
ZM,ok,78.0
ZS,ok,82.0
