direction,trigger_bar_exact,n,denominator_n_triggered,rate_of_triggered
long,1,1398,8277,0.1689017760057992
long,2,1262,8277,0.1524707019451492
long,3,957,8277,0.11562160202972091
long,4,874,8277,0.10559381418388306
long,5,694,8277,0.08384680439772865
long,6,567,8277,0.06850308082638637
long,7,670,8277,0.08094720309290805
long,8,493,8277,0.05956264346985623
long,9,370,8277,0.04470218678265072
long,10,356,8277,0.043010752688172046
long,11,345,8277,0.04168176875679594
long,12,291,8277,0.03515766582094962
short,1,1208,7889,0.1531246038788186
short,2,1091,7889,0.13829382684750918
short,3,965,7889,0.12232222081379135
short,4,902,7889,0.11433641779693243
short,5,703,7889,0.08911142096590188
short,6,550,7889,0.0697173279249588
short,7,598,7889,0.07580174927113703
short,8,436,7889,0.055266827227785524
short,9,419,7889,0.05311192800101407
short,10,342,7889,0.04335150209151984
short,11,345,7889,0.043731778425655975
short,12,330,7889,0.04183039675497528
