candle_color,window,avg_return,win_rate,n
GRAY,15min,-0.03293108278317619,50.74074074074074,540
GRAY,30min,-0.18181879677520638,47.77777777777778,540
GRAY,1hr,-0.05952051546306126,47.03703703703704,540
GRAY,2hr,0.008909291075601442,51.48148148148148,540
GRAY,EOD,0.09417549350259727,48.888888888888886,540
RED,15min,-0.1740859737493015,41.30434782608695,46
RED,30min,0.9276047440502102,54.347826086956516,46
RED,1hr,1.1614694408936888,50.0,46
RED,2hr,2.817364634221395,50.0,46
RED,EOD,4.04948099878416,54.347826086956516,46
ALL,15min,-0.04401150084536355,50.0,586
ALL,30min,-0.0947309420346447,48.29351535836178,586
ALL,1hr,0.03632511251033546,47.269624573378834,586
ALL,2hr,0.22936824292663638,51.365187713310576,586
ALL,EOD,0.4046602259991022,49.31740614334471,586
