path,depth_bucket,n,ft_0p70_rate,ft_1p00_rate,path_ft_rate,reverse_ft_rate,median_close_atr,conf
Gap-Up Continuation (Long),no_violation,749,0.48998664886515353,0.30040053404539385,0.48998664886515353,0.0,0.6765020312165909,✅
Gap-Up Continuation (Long),0-0.10 ATR,359,0.1532033426183844,0.06963788300835655,0.2590529247910863,0.0,0.2754624170344666,✅
Gap-Up Continuation (Long),0.10-0.25 ATR,444,0.11711711711711711,0.06756756756756757,0.22747747747747749,0.0022522522522522522,0.12463467305913939,✅
Gap-Up Continuation (Long),0.25-0.50 ATR,554,0.06498194945848375,0.04332129963898917,0.18411552346570398,0.12454873646209386,-0.11119475452084515,✅
Gap-Up Continuation (Long),0.50+ ATR,848,0.015330188679245283,0.01061320754716981,0.11910377358490566,0.294811320754717,-0.5917691043301159,✅
Gap-Down Continuation (Short),no_violation,492,0.11585365853658537,0.056910569105691054,0.258130081300813,0.12601626016260162,0.0813824339008817,✅
Gap-Down Continuation (Short),0-0.10 ATR,230,0.13478260869565217,0.06956521739130435,0.24347826086956523,0.13043478260869565,0.0244043283089576,✅
Gap-Down Continuation (Short),0.10-0.25 ATR,316,0.1550632911392405,0.08860759493670886,0.2120253164556962,0.08544303797468354,0.08734962933751175,✅
Gap-Down Continuation (Short),0.25-0.50 ATR,387,0.10335917312661498,0.05167958656330749,0.2661498708010336,0.13695090439276486,0.0434480361487666,✅
Gap-Down Continuation (Short),0.50+ ATR,457,0.12910284463894967,0.07439824945295405,0.25820568927789933,0.1050328227571116,0.1230842531565136,✅
Gap-Up Fade (Short),no_violation,516,0.4321705426356589,0.25387596899224807,0.001937984496124031,0.9205426356589147,0.6138715942685449,✅
Gap-Up Fade (Short),0-0.10 ATR,131,0.16793893129770993,0.08396946564885496,0.015267175572519083,0.732824427480916,0.269834676414389,✅
Gap-Up Fade (Short),0.10-0.25 ATR,198,0.1717171717171717,0.09595959595959595,0.010101010101010102,0.5707070707070707,0.16016275706059652,✅
Gap-Up Fade (Short),0.25-0.50 ATR,212,0.0660377358490566,0.03773584905660377,0.32547169811320753,0.39622641509433965,-0.15900381411849984,✅
Gap-Up Fade (Short),0.50+ ATR,269,0.02973977695167286,0.022304832713754646,0.9776951672862454,0.241635687732342,-0.5514223194748352,✅
Gap-Down Bounce (Long),no_violation,159,0.16981132075471697,0.11320754716981132,0.2138364779874214,0.5849056603773585,0.1528662420382178,✅
Gap-Down Bounce (Long),0-0.10 ATR,102,0.1568627450980392,0.0784313725490196,0.18627450980392157,0.5588235294117647,0.09494173291609245,✅
Gap-Down Bounce (Long),0.10-0.25 ATR,130,0.16923076923076924,0.09230769230769231,0.2692307692307692,0.5307692307692308,0.10593913518732831,✅
Gap-Down Bounce (Long),0.25-0.50 ATR,157,0.11464968152866242,0.05732484076433121,0.2356687898089172,0.5477707006369427,0.1187366421277623,✅
Gap-Down Bounce (Long),0.50+ ATR,205,0.17073170731707318,0.08780487804878048,0.2975609756097561,0.5658536585365853,0.1057268722466964,✅
