date,range_low,premarket_broke_below,rth_broke_below,rth_close_vs_range_low_pct,largest_5min_move_pct,largest_5min_move_time_ct
2020-11-03,286.97,1.0,1,-0.5227027215388367,2.00359167576323,08:50:00
2020-12-24,252.305,1.0,1,-12.074671528507166,-1.1439212556530922,08:55:00
2021-03-25,225.55,1.0,1,-1.281312347594775,0.858331121139721,09:05:00
2021-05-10,221.33,0.0,1,-0.820042470519146,-0.9519737138227397,08:30:00
2021-07-07,208.32,0.0,1,-0.15841013824884032,-0.5054560914544821,08:35:00
2021-07-08,207.83,,1,-3.820430159264796,-0.5976690905468616,08:40:00
2023-10-19,82.47,,1,-1.0791803079907851,-0.657014235308422,11:25:00
2023-10-20,81.12,,1,-1.4792899408284057,0.33707865168540607,08:30:00
2024-01-16,70.95,,1,-2.100070472163508,0.4777524244152791,08:50:00
2024-04-16,70.18,,1,-0.7908235964662393,-0.38565919154407974,08:30:00
2024-04-17,69.295,,1,-0.6710440868749599,0.32998565279771014,08:30:00
2024-06-27,73.265,,1,-1.2147683068313664,-0.6191739810845728,08:30:00
2024-06-28,72.355,,1,-0.4699053278971783,0.27797081306463217,09:20:00
2024-11-12,93.7,,1,-2.0490928495197456,-0.5071212775140408,09:00:00
2025-01-10,81.7,,1,-1.4198286413708647,-0.5387535202644762,08:35:00
2025-07-02,111.28,,1,-0.49424874191229073,-0.45739910313901805,08:30:00
