gap_bucket,candle_tier,n,flag,win_rate,avg_eod_return,avg_hod_atr,avg_lod_atr,avg_hod_pct,avg_lod_pct,med_hod_minutes,med_lod_minutes,ft_fire_rate
2-5%,MAX_BEARISH,109,,67.9,2.422,0.282,0.866,1.965,5.512,5.0,90.0,72.5
2-5%,BEARISH,1560,,65.6,1.153,0.291,0.655,1.81,3.72,30.0,60.0,61.2
2-5%,NEUTRAL,1991,,50.3,0.039,0.471,0.464,2.619,2.455,55.0,75.0,0.0
2-5%,BULLISH,771,,35.5,-1.822,0.783,0.305,4.869,1.865,65.0,35.0,67.4
2-5%,MAX_BULLISH,615,,33.7,-1.963,0.784,0.277,4.889,1.569,60.0,30.0,69.6
5-8%,MAX_BEARISH,15, ⚠️LOW,53.3,0.737,0.414,0.721,3.178,6.116,100.0,30.0,40.0
5-8%,BEARISH,301,,72.8,2.065,0.299,0.805,2.448,5.769,15.0,80.0,70.4
5-8%,NEUTRAL,374,,56.7,0.318,0.489,0.581,3.646,3.791,35.0,72.0,0.0
5-8%,BULLISH,121,,34.7,-3.029,1.045,0.345,7.517,2.461,60.0,25.0,75.2
5-8%,MAX_BULLISH,137,,30.7,-3.179,0.938,0.248,7.169,1.817,65.0,20.0,71.5
8-12%,MAX_BEARISH,6, ❌INSUFF,66.7,-0.201,0.782,1.122,9.501,9.689,10.0,12.0,83.3
8-12%,BEARISH,102,,71.6,2.473,0.319,0.924,2.734,6.663,5.0,65.0,73.5
8-12%,NEUTRAL,116,,44.0,-0.568,0.765,0.658,5.998,5.227,88.0,55.0,0.0
8-12%,BULLISH,38,,31.6,-4.943,1.27,0.337,9.959,2.603,68.0,25.0,78.9
8-12%,MAX_BULLISH,49,,38.8,-3.888,1.027,0.444,10.167,3.188,35.0,75.0,79.6
12%+,MAX_BEARISH,1, ❌INSUFF,100.0,22.559,0.258,1.665,3.704,23.906,25.0,380.0,100.0
12%+,BEARISH,67,,76.1,4.374,0.555,1.577,5.339,12.31,0.0,45.0,94.0
12%+,NEUTRAL,88,,39.8,-1.568,1.168,0.899,11.103,7.866,62.0,35.0,0.0
12%+,BULLISH,13, ⚠️LOW,15.4,-18.53,2.248,0.244,30.908,2.231,140.0,5.0,100.0
12%+,MAX_BULLISH,43,,30.2,-6.167,1.731,0.513,14.348,4.765,40.0,10.0,90.7
